Date,JPM,JPM_tradable,BAC,BAC_tradable,WFC,WFC_tradable,C,C_tradable,GS,GS_tradable,MS,MS_tradable,USB,USB_tradable,PNC,PNC_tradable,HSBA.L,HSBA.L_tradable,BARC.L,BARC.L_tradable,LLOY.L,LLOY.L_tradable,NWG.L,NWG.L_tradable,STAN.L,STAN.L_tradable,BNP.PA,BNP.PA_tradable,GLE.PA,GLE.PA_tradable,SAN.MC,SAN.MC_tradable,BBVA.MC,BBVA.MC_tradable,ISP.MI,ISP.MI_tradable,UCG.MI,UCG.MI_tradable,DBK.DE,DBK.DE_tradable,CBK.DE,CBK.DE_tradable,INGA.AS,INGA.AS_tradable,UBSG.SW,UBSG.SW_tradable,8316.T,8316.T_tradable,8308.T,8308.T_tradable
2000-01-04,22.2937126160,True,11.6229591370,True,9.0743083954,True,193.1030273438,True,57.1936569214,True,30.1007099152,True,8.2275333405,True,18.1627464294,True,707.6148681641,True,382.4899597168,True,466.6524353027,True,3265.1391601562,True,744.3184204102,True,12.7002449036,True,16.8723621368,True,2.5328538418,True,3.8091914654,True,0.6708186269,True,136462.5781250000,True,33.3390426636,True,217.7425689697,True,8.3230504990,True,20.2610950470,True,903.7598876953,True,3732.0876464844,True
2000-01-05,22.1560955048,True,11.7505159378,True,8.9827985764,True,200.8657989502,True,54.5153884888,True,29.0020275116,True,8.0458498001,True,18.2460594177,True,681.3754272461,True,373.3286132812,True,466.0097045898,True,3295.7124023438,True,714.8483886719,True,12.4318294525,True,16.7203521729,True,2.4713001251,True,3.7236831188,True,0.6605766416,True,132970.9843750000,True,32.9072647095,True,211.6773223877,True,8.2519140244,True,20.2610950470,True,868.8778686523,True,3646.2268066406,True
2000-01-06,22.4706478119,True,12.7549657822,True,9.3793249130,True,210.5695343018,True,56.8480758667,True,29.5588989258,True,8.6687536240,True,19.1069908142,True,659.0070800781,True,359.3574218750,True,450.5832824707,True,3301.8264160156,True,666.6607666016,True,12.0080156326,True,16.5683536530,True,2.4713001251,True,3.7236831188,True,0.6349726915,True,133261.9531250000,True,34.5840682983,True,214.7098999023,True,8.1950025558,True,20.3597030640,True,878.3910522461,True,3674.8469238281,True
2000-01-07,22.8834991455,True,12.4201507568,True,9.5470819473,True,209.5991973877,True,57.0640373230,True,30.4769687653,True,9.0061597824,True,19.1347579956,True,664.1690063477,True,351.3410949707,True,434.8353271484,True,3323.2272949219,True,672.2365722656,True,12.1634168625,True,16.5683536530,True,2.5807309151,True,3.7705726624,True,0.6588687897,True,132389.0312500000,True,35.6320648193,True,221.6849975586,True,8.3557710648,True,20.5568943024,True,872.0491943359,True,3800.7763671875,True
2000-01-08,22.8834991455,False,12.4201507568,False,9.5470819473,False,209.5991973877,False,57.0640373230,False,30.4769687653,False,9.0061597824,False,19.1347579956,False,664.1690063477,False,351.3410949707,False,434.8353271484,False,3323.2272949219,False,672.2365722656,False,12.1634168625,False,16.5683536530,False,2.5807309151,False,3.7705726624,False,0.6588687897,False,132389.0312500000,False,35.6320648193,False,221.6849975586,False,8.3557710648,False,20.5568943024,False,872.0491943359,False,3800.7763671875,False
2000-01-09,22.8834991455,False,12.4201507568,False,9.5470819473,False,209.5991973877,False,57.0640373230,False,30.4769687653,False,9.0061597824,False,19.1347579956,False,664.1690063477,False,351.3410949707,False,434.8353271484,False,3323.2272949219,False,672.2365722656,False,12.1634168625,False,16.5683536530,False,2.5807309151,False,3.7705726624,False,0.6588687897,False,132389.0312500000,False,35.6320648193,False,221.6849975586,False,8.3557710648,False,20.5568943024,False,872.0491943359,False,3800.7763671875,False
2000-01-10,22.4902915955,True,11.9896678925,True,9.2420644760,True,208.8714447021,True,58.3167533875,True,31.5549697876,True,8.9542560577,True,18.4682407379,True,667.1799926758,True,356.1508483887,True,447.0480346680,True,3350.7421875000,True,687.3696289062,True,12.2340517044,True,16.4923553467,True,2.5579321384,True,3.7098920345,True,0.6486270428,True,132970.9843750000,True,34.7140235901,True,221.1997375488,True,8.3657302856,True,20.6061992645,True,872.0491943359,True,3800.7763671875,True
2000-01-11,21.9594993591,True,11.7345705032,True,9.0895586014,True,206.2028961182,True,58.6191711426,True,31.5549697876,True,8.6168470383,True,18.2738323212,True,646.1021728516,True,346.3022460938,True,426.8006286621,True,3310.9985351562,True,659.4923706055,True,11.7819843292,True,16.5683536530,True,2.4713001251,True,3.6354176998,True,0.6383872032,True,128606.5156250000,True,34.8355865479,True,219.8653869629,True,8.2661409378,True,20.9759216309,True,887.9044799805,True,3617.6062011719,True
2000-01-12,22.0971145630,True,11.8621187210,True,9.3488245010,True,213.4806671143,True,58.3167533875,True,31.7965259552,True,9.0580711365,True,18.8691101074,True,658.1465454102,True,358.4411621094,True,430.0145874023,True,3234.5671386719,True,690.5555419922,True,11.8949995041,True,16.3008327484,True,2.4485015869,True,3.6235423088,True,0.6417999268,True,128024.5703125000,True,33.7875862122,True,221.6849975586,True,8.0086221695,True,20.9019641876,True,846.6804809570,True,3606.1582031250,True
2000-01-13,22.4313259125,True,12.1331634521,True,9.8673505783,True,215.9065551758,True,58.4032135010,True,31.9928169250,True,9.6550273895,True,20.5819282532,True,654.2752685547,True,354.0894775391,True,430.3359375000,True,3216.2231445312,True,700.1135253906,True,11.8667459488,True,16.0363445282,True,2.4279839993,True,3.5345537663,True,0.6315582395,True,125114.9062500000,True,35.0242309570,True,218.9556121826,True,7.9218349457,True,20.9266185760,True,843.5092773438,True,3537.4707031250,True
2000-01-14,23.2373752594,True,12.8825178146,True,10.1723747253,True,225.1250610352,True,59.1807441711,True,33.1704750061,True,9.6550273895,True,21.0031089783,True,653.8450317383,True,355.0057373047,True,432.2643127441,True,3158.1359863281,True,718.0341186523,True,12.0786514282,True,16.2643527985,True,2.4918181896,True,3.6040775776,True,0.6400936246,True,123369.1093750000,True,35.2547874451,True,220.7752075195,True,8.1096391678,True,21.3949508667,True,887.9044799805,True,3720.6386718750,True
2000-01-15,23.2373752594,False,12.8825178146,False,10.1723747253,False,225.1250610352,False,59.1807441711,False,33.1704750061,False,9.6550273895,False,21.0031089783,False,653.8450317383,False,355.0057373047,False,432.2643127441,False,3158.1359863281,False,718.0341186523,False,12.0786514282,False,16.2643527985,False,2.4918181896,False,3.6040775776,False,0.6400936246,False,123369.1093750000,False,35.2547874451,False,220.7752075195,False,8.1096391678,False,21.3949508667,False,887.9044799805,False,3720.6386718750,False
2000-01-16,23.2373752594,False,12.8825178146,False,10.1723747253,False,225.1250610352,False,59.1807441711,False,33.1704750061,False,9.6550273895,False,21.0031089783,False,653.8450317383,False,355.0057373047,False,432.2643127441,False,3158.1359863281,False,718.0341186523,False,12.0786514282,False,16.2643527985,False,2.4918181896,False,3.6040775776,False,0.6400936246,False,123369.1093750000,False,35.2547874451,False,220.7752075195,False,8.1096391678,False,21.3949508667,False,887.9044799805,False,3720.6386718750,False
2000-01-17,23.2373752594,False,12.8825178146,False,10.1723747253,False,225.1250610352,False,59.1807441711,False,33.1704750061,False,9.6550273895,False,21.0031089783,False,650.8339233398,True,338.5151062012,True,430.3359375000,True,3191.7658691406,True,710.8660278320,True,11.9797620773,True,16.0971450806,True,2.4257040024,True,3.5707042217,True,0.6213181615,True,122496.2265625000,True,36.1896095276,True,221.9882049561,True,8.0527305603,True,21.1977577209,True,938.6422119141,True,3606.1582031250,True
2000-01-18,22.3330364227,True,12.2447652817,True,9.4860763550,True,227.0657806396,True,60.0446968079,True,32.3098640442,True,9.7328891754,True,20.6380863190,True,641.3703002930,True,327.2922973633,True,412.6596984863,True,3124.5068359375,True,679.8029785156,True,11.6548385620,True,15.8083391190,True,2.3025951385,True,3.4956214428,True,0.6059556007,True,120168.5468750000,True,35.6530265808,True,220.5932159424,True,7.9673652649,True,20.8280391693,True,919.6154785156,True,3606.1582031250,True
2000-01-19,23.3160057068,True,12.2447652817,True,8.9675502777,True,231.9175872803,True,60.5198478699,True,32.7779159546,True,9.5512037277,True,20.3572921753,True,623.3034057617,True,318.5889282227,True,396.5903320312,True,2934.9565429688,True,659.8906860352,True,11.9232530594,True,15.7323350906,True,2.3025951385,True,3.4900591373,True,0.5888867974,True,119877.5234375000,True,35.5482254028,True,223.5045166016,True,8.0015096664,True,20.4090099335,True,932.3000488281,True,3480.2285156250,True
2000-01-20,23.2963371277,True,12.0095977783,True,8.8760452271,True,227.4902648926,True,59.4782600403,True,32.5665321350,True,9.2137994766,True,19.7676372528,True,595.3432006836,True,307.8243408203,True,393.6979370117,True,3005.2739257812,True,620.0661621094,True,11.6124610901,True,15.7019357681,True,2.3504710197,True,3.4844980240,True,0.6008350849,True,117840.7812500000,True,35.2757530212,True,218.3490905762,True,7.8535428047,True,20.0146064758,True,938.6422119141,True,3463.0566406250,True
2000-01-21,22.9424629211,True,11.6548509598,True,8.9370470047,True,219.0602722168,True,59.3051719666,True,32.0079116821,True,9.0061597824,True,19.7114791870,True,622.0131225586,True,329.5827026367,True,411.3742370605,True,3078.6474609375,True,659.4923706055,True,11.3864240646,True,15.1015243530,True,2.2775170803,True,3.4121940136,True,0.6230246425,True,118131.7890625000,True,34.5882568359,True,218.4097290039,True,7.8179717064,True,19.9653301239,True,916.4443969727,True,3337.1274414062,True
2000-01-22,22.9424629211,False,11.6548509598,False,8.9370470047,False,219.0602722168,False,59.3051719666,False,32.0079116821,False,9.0061597824,False,19.7114791870,False,622.0131225586,False,329.5827026367,False,411.3742370605,False,3078.6474609375,False,659.4923706055,False,11.3864240646,False,15.1015243530,False,2.2775170803,False,3.4121940136,False,0.6230246425,False,118131.7890625000,False,34.5882568359,False,218.4097290039,False,7.8179717064,False,19.9653301239,False,916.4443969727,False,3337.1274414062,False
2000-01-23,22.9424629211,False,11.6548509598,False,8.9370470047,False,219.0602722168,False,59.3051719666,False,32.0079116821,False,9.0061597824,False,19.7114791870,False,622.0131225586,False,329.5827026367,False,411.3742370605,False,3078.6474609375,False,659.4923706055,False,11.3864240646,False,15.1015243530,False,2.2775170803,False,3.4121940136,False,0.6230246425,False,118131.7890625000,False,34.5882568359,False,218.4097290039,False,7.8179717064,False,19.9653301239,False,916.4443969727,False,3337.1274414062,False
2000-01-24,22.9621334076,True,11.3678627014,True,8.7540369034,True,214.2083282471,True,56.5800514221,True,30.9208602905,True,8.9023437500,True,19.5149192810,True,616.8510742188,True,328.6665039062,True,416.5163879395,True,3136.7358398438,True,650.7310180664,True,11.4146776199,True,15.3143262863,True,2.3025951385,True,3.4288797379,True,0.6008350849,True,116967.9062500000,True,33.7875862122,True,214.7098999023,True,7.5761094093,True,19.3737735748,True,903.7598876953,True,3234.0944824219,True
2000-01-25,23.4732761383,True,11.5113573074,True,9.1810617447,True,216.8768615723,True,58.0507659912,True,31.2680950165,True,9.0321197510,True,19.7957267761,True,606.5271606445,True,315.8406066895,True,399.1614685059,True,3093.9340820312,True,636.3939819336,True,11.3157892227,True,14.9039173126,True,2.3025951385,True,3.5039644241,True,0.5974206924,True,114349.2187500000,True,32.8653450012,True,205.3087921143,True,7.4708251953,True,18.8068275452,True,875.2203979492,True,3171.1293945312,True
2000-01-26,24.6724967957,True,12.0215568542,True,9.2725639343,True,225.6101837158,True,61.0787467957,True,32.0984992981,True,9.4733438492,True,20.3011283875,True,619.4318237305,True,339.2021789551,True,415.8735656738,True,3164.2502441406,True,680.9974365234,True,11.2734098434,True,14.9419183731,True,2.3618693352,True,3.6124203205,True,0.6093684435,True,114931.1484375000,True,33.3097038269,True,203.5498809814,True,7.5263123512,True,19.2012348175,True,878.3910522461,True,3205.4743652344,True
