Date,USD,USD_tradable,EURUSD,EURUSD_tradable,GBPUSD,GBPUSD_tradable,JPYUSD,JPYUSD_tradable,CHFUSD,CHFUSD_tradable
2000-01-04,1.0000000000,True,,False,,False,0.0096955595,True,,False
2000-01-05,1.0000000000,True,,False,,False,0.0096070711,True,,False
2000-01-06,1.0000000000,True,,False,,False,0.0095029931,True,,False
2000-01-07,1.0000000000,True,,False,,False,0.0094939712,True,,False
2000-01-08,1.0000000000,True,,False,,False,0.0094939712,False,,False
2000-01-09,1.0000000000,True,,False,,False,0.0094939712,False,,False
2000-01-10,1.0000000000,True,,False,,False,0.0095093188,True,,False
2000-01-11,1.0000000000,True,,False,,False,0.0094321829,True,,False
2000-01-12,1.0000000000,True,,False,,False,0.0094598430,True,,False
2000-01-13,1.0000000000,True,,False,,False,0.0094321829,True,,False
2000-01-14,1.0000000000,True,,False,,False,0.0094446546,True,,False
2000-01-15,1.0000000000,True,,False,,False,0.0094446546,False,,False
2000-01-16,1.0000000000,True,,False,,False,0.0094446546,False,,False
2000-01-17,1.0000000000,True,,False,,False,0.0095337974,True,,False
2000-01-18,1.0000000000,True,,False,,False,0.0094643192,True,,False
2000-01-19,1.0000000000,True,,False,,False,0.0095002848,True,,False
2000-01-20,1.0000000000,True,,False,,False,0.0094957746,True,,False
2000-01-21,1.0000000000,True,,False,,False,0.0095492741,True,,False
2000-01-22,1.0000000000,True,,False,,False,0.0095492741,False,,False
2000-01-23,1.0000000000,True,,False,,False,0.0095492741,False,,False
2000-01-24,1.0000000000,True,,False,,False,0.0094652152,True,,False
2000-01-25,1.0000000000,True,,False,,False,0.0094455462,True,,False
2000-01-26,1.0000000000,True,,False,,False,0.0094714906,True,,False
2000-01-27,1.0000000000,True,,False,,False,0.0095247168,True,,False
2000-01-28,1.0000000000,True,,False,,False,0.0093405569,True,,False
2000-01-29,1.0000000000,True,,False,,False,0.0093405569,False,,False
2000-01-30,1.0000000000,True,,False,,False,0.0093405569,False,,False
2000-01-31,1.0000000000,True,,False,,False,0.0093283585,True,,False
2000-02-01,1.0000000000,True,,False,,False,0.0092816040,True,,False
2000-02-02,1.0000000000,True,,False,,False,0.0092506939,True,,False
2000-02-03,1.0000000000,True,,False,,False,0.0093066545,True,,False
2000-02-04,1.0000000000,True,,False,,False,0.0093300989,True,,False
2000-02-05,1.0000000000,True,,False,,False,0.0093300989,False,,False
2000-02-06,1.0000000000,True,,False,,False,0.0093300989,False,,False
2000-02-07,1.0000000000,True,,False,,False,0.0091818930,True,,False
2000-02-08,1.0000000000,True,,False,,False,0.0091407677,True,,False
2000-02-09,1.0000000000,True,,False,,False,0.0091945566,True,,False
2000-02-10,1.0000000000,True,,False,,False,0.0091650627,True,,False
2000-02-11,1.0000000000,True,,False,,False,0.0091911762,True,,False
2000-02-12,1.0000000000,True,,False,,False,0.0091911762,False,,False
2000-02-13,1.0000000000,True,,False,,False,0.0091911762,False,,False
2000-02-14,1.0000000000,True,,False,,False,0.0091886427,True,,False
2000-02-15,1.0000000000,True,,False,,False,0.0091684240,True,,False
2000-02-16,1.0000000000,True,,False,,False,0.0091449475,True,,False
2000-02-17,1.0000000000,True,,False,,False,0.0090571503,True,,False
2000-02-18,1.0000000000,True,,False,,False,0.0090211999,True,,False
2000-02-19,1.0000000000,True,,False,,False,0.0090211999,False,,False
2000-02-20,1.0000000000,True,,False,,False,0.0090211999,False,,False
2000-02-21,1.0000000000,True,,False,,False,0.0089887640,True,,False
2000-02-22,1.0000000000,True,,False,,False,0.0090350560,True,,False
2000-02-23,1.0000000000,True,,False,,False,0.0089887640,True,,False
2000-02-24,1.0000000000,True,,False,,False,0.0089847257,True,,False
2000-02-25,1.0000000000,True,,False,,False,0.0090785292,True,,False
2000-02-26,1.0000000000,True,,False,,False,0.0090785292,False,,False
2000-02-27,1.0000000000,True,,False,,False,0.0090785292,False,,False
2000-02-28,1.0000000000,True,,False,,False,0.0091157705,True,,False
2000-02-29,1.0000000000,True,,False,,False,0.0090752335,True,,False
2000-03-01,1.0000000000,True,,False,,False,0.0093510378,True,,False
2000-03-02,1.0000000000,True,,False,,False,0.0092764376,True,,False
2000-03-03,1.0000000000,True,,False,,False,0.0092867756,True,,False
2000-03-04,1.0000000000,True,,False,,False,0.0092867756,False,,False
2000-03-05,1.0000000000,True,,False,,False,0.0092867756,False,,False
2000-03-06,1.0000000000,True,,False,,False,0.0093092536,True,,False
2000-03-07,1.0000000000,True,,False,,False,0.0094179695,True,,False
2000-03-08,1.0000000000,True,,False,,False,0.0093309696,True,,False
2000-03-09,1.0000000000,True,,False,,False,0.0093887896,True,,False
2000-03-10,1.0000000000,True,,False,,False,0.0094144228,True,,False
2000-03-11,1.0000000000,True,,False,,False,0.0094144228,False,,False
2000-03-12,1.0000000000,True,,False,,False,0.0094144228,False,,False
2000-03-13,1.0000000000,True,,False,,False,0.0094616329,True,,False
2000-03-14,1.0000000000,True,,False,,False,0.0095138426,True,,False
2000-03-15,1.0000000000,True,,False,,False,0.0094679036,True,,False
2000-03-16,1.0000000000,True,,False,,False,0.0094661114,True,,False
2000-03-17,1.0000000000,True,,False,,False,0.0093755857,True,,False
2000-03-18,1.0000000000,True,,False,,False,0.0093755857,False,,False
2000-03-19,1.0000000000,True,,False,,False,0.0093755857,False,,False
2000-03-20,1.0000000000,True,,False,,False,0.0094020308,True,,False
2000-03-21,1.0000000000,True,,False,,False,0.0093720715,True,,False
2000-03-22,1.0000000000,True,,False,,False,0.0093396843,True,,False
2000-03-23,1.0000000000,True,,False,,False,0.0093214020,True,,False
2000-03-24,1.0000000000,True,,False,,False,0.0093466681,True,,False
2000-03-25,1.0000000000,True,,False,,False,0.0093466681,False,,False
2000-03-26,1.0000000000,True,,False,,False,0.0093466681,False,,False
2000-03-27,1.0000000000,True,,False,,False,0.0093720715,True,,False
2000-03-28,1.0000000000,True,,False,,False,0.0094500095,True,,False
2000-03-29,1.0000000000,True,,False,,False,0.0094598430,True,,False
2000-03-30,1.0000000000,True,,False,,False,0.0094661114,True,,False
2000-03-31,1.0000000000,True,,False,,False,0.0097125098,True,,False
2000-04-01,1.0000000000,True,,False,,False,0.0097125098,False,,False
2000-04-02,1.0000000000,True,,False,,False,0.0097125098,False,,False
2000-04-03,1.0000000000,True,,False,,False,0.0095247168,True,,False
2000-04-04,1.0000000000,True,,False,,False,0.0095048000,True,,False
2000-04-05,1.0000000000,True,,False,,False,0.0095401641,True,,False
2000-04-06,1.0000000000,True,,False,,False,0.0095520105,True,,False
