Date,strategy,weight_sum
2005-08-10,gaussian,1
2005-08-11,gaussian,1.0000000000000002
2005-08-12,gaussian,1
2005-08-15,gaussian,1.0000000000000002
2005-08-16,gaussian,1
2005-08-17,gaussian,1.0000000000000002
2005-08-18,gaussian,1.0000000000000002
2005-08-19,gaussian,1
2005-08-22,gaussian,1
2005-08-23,gaussian,1
2005-08-24,gaussian,1
2005-08-25,gaussian,1
2005-08-26,gaussian,1
2005-08-29,gaussian,1.0000000000000002
2005-08-30,gaussian,1
2005-08-31,gaussian,1
2005-09-01,gaussian,1.0000000000000002
2005-09-02,gaussian,1
2005-09-05,gaussian,1
2005-09-06,gaussian,1
2005-09-07,gaussian,1
2005-09-08,gaussian,1
2005-09-09,gaussian,1
2005-09-12,gaussian,1.0000000000000002
2005-09-13,gaussian,1
2005-09-14,gaussian,1
2005-09-15,gaussian,1
2005-09-16,gaussian,1.0000000000000002
2005-09-19,gaussian,1.0000000000000002
2005-09-20,gaussian,1
2005-09-21,gaussian,1
2005-09-22,gaussian,1.0000000000000002
2005-09-23,gaussian,1
2005-09-26,gaussian,1
2005-09-27,gaussian,1.0000000000000002
2005-09-28,gaussian,1
2005-09-29,gaussian,1
2005-09-30,gaussian,1
2005-10-03,gaussian,1
2005-10-04,gaussian,1
2005-10-05,gaussian,1.0000000000000002
2005-10-06,gaussian,1.0000000000000002
2005-10-07,gaussian,1
2005-10-10,gaussian,1
2005-10-11,gaussian,1
2005-10-12,gaussian,1
2005-10-13,gaussian,1.0000000000000002
2005-10-14,gaussian,1
2005-10-17,gaussian,1
2005-10-18,gaussian,1
2005-10-19,gaussian,1.0000000000000002
2005-10-20,gaussian,0.99999999999999989
2005-10-21,gaussian,1.0000000000000002
2005-10-24,gaussian,1
2005-10-25,gaussian,1
2005-10-26,gaussian,1
2005-10-27,gaussian,1
2005-10-28,gaussian,1
2005-10-31,gaussian,1
2005-11-01,gaussian,1
2005-11-02,gaussian,1
2005-11-03,gaussian,1
2005-11-04,gaussian,1.0000000000000002
2005-11-07,gaussian,1
2005-11-08,gaussian,1
2005-11-09,gaussian,1.0000000000000002
2005-11-10,gaussian,1
2005-11-11,gaussian,1
2005-11-14,gaussian,1
2005-11-15,gaussian,1
2005-11-16,gaussian,1
2005-11-17,gaussian,1
2005-11-18,gaussian,1.0000000000000002
2005-11-21,gaussian,1
2005-11-22,gaussian,1.0000000000000002
2005-11-23,gaussian,1
2005-11-24,gaussian,1.0000000000000002
2005-11-25,gaussian,1.0000000000000002
2005-11-28,gaussian,1.0000000000000002
2005-11-29,gaussian,1.0000000000000002
2005-11-30,gaussian,1
2005-12-01,gaussian,1
2005-12-02,gaussian,1
2005-12-05,gaussian,1
2005-12-06,gaussian,1
2005-12-07,gaussian,1.0000000000000002
2005-12-08,gaussian,1
2005-12-09,gaussian,1
2005-12-12,gaussian,1.0000000000000002
2005-12-13,gaussian,1
2005-12-14,gaussian,1
2005-12-15,gaussian,1
2005-12-16,gaussian,1.0000000000000002
2005-12-19,gaussian,1
2005-12-20,gaussian,1
2005-12-21,gaussian,1.0000000000000002
2005-12-22,gaussian,1
2005-12-23,gaussian,1
2005-12-26,gaussian,1
2005-12-27,gaussian,1.0000000000000002
2005-12-28,gaussian,1
2005-12-29,gaussian,1.0000000000000002
2005-12-30,gaussian,1.0000000000000002
2006-01-02,gaussian,1
2006-01-03,gaussian,1.0000000000000002
2006-01-04,gaussian,1
2006-01-05,gaussian,1
2006-01-06,gaussian,1
2006-01-09,gaussian,1.0000000000000002
2006-01-10,gaussian,1
2006-01-11,gaussian,1
2006-01-12,gaussian,1
2006-01-13,gaussian,1
2006-01-16,gaussian,1.0000000000000002
2006-01-17,gaussian,1.0000000000000004
2006-01-18,gaussian,0.99999999999999989
2006-01-19,gaussian,1
2006-01-20,gaussian,1
2006-01-23,gaussian,1
2006-01-24,gaussian,1
2006-01-25,gaussian,1
2006-01-26,gaussian,1
2006-01-27,gaussian,1
2006-01-30,gaussian,0.99999999999999989
2006-01-31,gaussian,1.0000000000000002
2006-02-01,gaussian,1
2006-02-02,gaussian,1
2006-02-03,gaussian,1
2006-02-06,gaussian,1
2006-02-07,gaussian,1
2006-02-08,gaussian,0.99999999999999989
2006-02-09,gaussian,1
2006-02-10,gaussian,1.0000000000000002
2006-02-13,gaussian,1
2006-02-14,gaussian,1
2006-02-15,gaussian,1.0000000000000002
2006-02-16,gaussian,1
2006-02-17,gaussian,1
2006-02-20,gaussian,1
2006-02-21,gaussian,1
2006-02-22,gaussian,1.0000000000000002
2006-02-23,gaussian,1
2006-02-24,gaussian,1
2006-02-27,gaussian,1
2006-02-28,gaussian,1.0000000000000002
2006-03-01,gaussian,1
2006-03-02,gaussian,1
2006-03-03,gaussian,1
2006-03-06,gaussian,1.0000000000000002
2006-03-07,gaussian,1
2006-03-08,gaussian,1.0000000000000002
2006-03-09,gaussian,1
2006-03-10,gaussian,1
2006-03-13,gaussian,1
2006-03-14,gaussian,1.0000000000000002
2006-03-15,gaussian,1
2006-03-16,gaussian,1
2006-03-17,gaussian,1
2006-03-20,gaussian,1
2006-03-21,gaussian,1
2006-03-22,gaussian,1.0000000000000002
2006-03-23,gaussian,1.0000000000000002
2006-03-24,gaussian,1.0000000000000002
2006-03-27,gaussian,1
2006-03-28,gaussian,1.0000000000000002
2006-03-29,gaussian,1.0000000000000002
2006-03-30,gaussian,1
2006-03-31,gaussian,1
2006-04-03,gaussian,1
2006-04-04,gaussian,1
2006-04-05,gaussian,1
2006-04-06,gaussian,1
2006-04-07,gaussian,1.0000000000000002
2006-04-10,gaussian,1
2006-04-11,gaussian,1
2006-04-12,gaussian,1.0000000000000002
2006-04-13,gaussian,1.0000000000000002
2006-04-14,gaussian,1.0000000000000002
2006-04-17,gaussian,1.0000000000000002
2006-04-18,gaussian,1
2006-04-19,gaussian,1
2006-04-20,gaussian,1
2006-04-21,gaussian,1
2006-04-24,gaussian,1.0000000000000002
2006-04-25,gaussian,1.0000000000000002
2006-04-26,gaussian,1
2006-04-27,gaussian,1.0000000000000002
2006-04-28,gaussian,1.0000000000000002
2006-05-01,gaussian,1.0000000000000002
2006-05-02,gaussian,1.0000000000000002
2006-05-03,gaussian,1.0000000000000002
2006-05-04,gaussian,1
2006-05-05,gaussian,1.0000000000000002
2006-05-08,gaussian,1.0000000000000002
2006-05-09,gaussian,1
2006-05-10,gaussian,1
2006-05-11,gaussian,1
2006-05-12,gaussian,1
2006-05-15,gaussian,1
2006-05-16,gaussian,1
2006-05-17,gaussian,1.0000000000000004
2006-05-18,gaussian,1
2006-05-19,gaussian,1
2006-05-22,gaussian,1.0000000000000007
2006-05-23,gaussian,1
2006-05-24,gaussian,0.99999999999999989
2006-05-25,gaussian,1.0000000000000002
2006-05-26,gaussian,1
2006-05-29,gaussian,0.99999999999999978
2006-05-30,gaussian,1
2006-05-31,gaussian,1.0000000000000002
2006-06-01,gaussian,1
2006-06-02,gaussian,1
2006-06-05,gaussian,0.99999999999999956
2006-06-06,gaussian,1
2006-06-07,gaussian,1.0000000000000002
2006-06-08,gaussian,1.0000000000000004
2006-06-09,gaussian,1.0000000000000002
2006-06-12,gaussian,1
2006-06-13,gaussian,1.0000000000000002
2006-06-14,gaussian,1.0000000000000002
2006-06-15,gaussian,1.0000000000000004
2006-06-16,gaussian,1.0000000000000002
2006-06-19,gaussian,1.0000000000000002
2006-06-20,gaussian,1.0000000000000002
2006-06-21,gaussian,1
2006-06-22,gaussian,1.0000000000000002
2006-06-23,gaussian,1.0000000000000002
2006-06-26,gaussian,1
2006-06-27,gaussian,1
2006-06-28,gaussian,1
2006-06-29,gaussian,1
2006-06-30,gaussian,1.0000000000000002
2006-07-03,gaussian,1.0000000000000002
2006-07-04,gaussian,1.0000000000000004
2006-07-05,gaussian,0.99999999999999989
2006-07-06,gaussian,1.0000000000000002
2006-07-07,gaussian,1
2006-07-10,gaussian,1.0000000000000002
2006-07-11,gaussian,1
2006-07-12,gaussian,1
2006-07-13,gaussian,1
2006-07-14,gaussian,1.0000000000000002
2006-07-17,gaussian,1
2006-07-18,gaussian,0.99999999999999989
2006-07-19,gaussian,0.999999999999999
2006-07-20,gaussian,1
2006-07-21,gaussian,1
2006-07-24,gaussian,1
2006-07-25,gaussian,1.0000000000000004
2006-07-26,gaussian,1.0000000000000002
2006-07-27,gaussian,1
2006-07-28,gaussian,0.99999999999999989
2006-07-31,gaussian,1
2006-08-01,gaussian,1
2006-08-02,gaussian,0.99999999999999956
2006-08-03,gaussian,1.0000000000000002
2006-08-04,gaussian,1.0000000000000002
2006-08-07,gaussian,1.0000000000000002
2006-08-08,gaussian,1.0000000000000002
2006-08-09,gaussian,1.0000000000000002
2006-08-10,gaussian,1
2006-08-11,gaussian,1.0000000000000002
2006-08-14,gaussian,1
2006-08-15,gaussian,0.99999999999999978
2006-08-16,gaussian,1.0000000000000004
2006-08-17,gaussian,1
2006-08-18,gaussian,0.99999999999999967
2006-08-21,gaussian,1.0000000000000002
2006-08-22,gaussian,1
2006-08-23,gaussian,1
2006-08-24,gaussian,1
2006-08-25,gaussian,1
2006-08-28,gaussian,0.99999999999999933
2006-08-29,gaussian,1
2006-08-30,gaussian,1
2006-08-31,gaussian,1
2006-09-01,gaussian,1.0000000000000002
2006-09-04,gaussian,1
2006-09-05,gaussian,1.0000000000000004
2006-09-06,gaussian,1.0000000000000002
2006-09-07,gaussian,1.0000000000000002
2006-09-08,gaussian,1
2006-09-11,gaussian,1.0000000000000002
2006-09-12,gaussian,1.0000000000000002
2006-09-13,gaussian,0.99999999999999967
2006-09-14,gaussian,1
2006-09-15,gaussian,1
2006-09-18,gaussian,1
2006-09-19,gaussian,1
2006-09-20,gaussian,1.0000000000000002
2006-09-21,gaussian,1.0000000000000002
2006-09-22,gaussian,1
2006-09-25,gaussian,0.99999999999999922
2006-09-26,gaussian,1
2006-09-27,gaussian,1
2006-09-28,gaussian,1
2006-09-29,gaussian,1.0000000000000002
2006-10-02,gaussian,1.0000000000000002
2006-10-03,gaussian,1.0000000000000004
2006-10-04,gaussian,1.0000000000000004
2006-10-05,gaussian,1
2006-10-06,gaussian,1
2006-10-09,gaussian,1
2006-10-10,gaussian,1.0000000000000002
2006-10-11,gaussian,1
2006-10-12,gaussian,1.0000000000000004
2006-10-13,gaussian,1.0000000000000004
2006-10-16,gaussian,1.0000000000000002
2006-10-17,gaussian,1.0000000000000002
2006-10-18,gaussian,1.0000000000000002
2006-10-19,gaussian,1.0000000000000002
2006-10-20,gaussian,0.99999999999999978
2006-10-23,gaussian,1
2006-10-24,gaussian,1.0000000000000002
2006-10-25,gaussian,1.0000000000000002
2006-10-26,gaussian,1.0000000000000002
2006-10-27,gaussian,1
2006-10-30,gaussian,1.0000000000000002
2006-10-31,gaussian,1
2006-11-01,gaussian,0.99999999999999922
2006-11-02,gaussian,1
2006-11-03,gaussian,1.0000000000000002
2006-11-06,gaussian,1.0000000000000002
2006-11-07,gaussian,1.0000000000000002
2006-11-08,gaussian,1.0000000000000002
2006-11-09,gaussian,1.0000000000000002
2006-11-10,gaussian,1
2006-11-13,gaussian,1
2006-11-14,gaussian,1.0000000000000011
2006-11-15,gaussian,1
2006-11-16,gaussian,1
2006-11-17,gaussian,1.0000000000000002
2006-11-20,gaussian,1
2006-11-21,gaussian,1.0000000000000004
2006-11-22,gaussian,1.0000000000000002
2006-11-23,gaussian,1.0000000000000004
2006-11-24,gaussian,1
2006-11-27,gaussian,0.99999999999999989
2006-11-28,gaussian,0.99999999999999956
2006-11-29,gaussian,1.0000000000000002
2006-11-30,gaussian,1.0000000000000004
2006-12-01,gaussian,1
2006-12-04,gaussian,0.99999999999999967
2006-12-05,gaussian,1.0000000000000002
2006-12-06,gaussian,1
2006-12-07,gaussian,1.0000000000000002
2006-12-08,gaussian,1.0000000000000002
2006-12-11,gaussian,1.0000000000000002
2006-12-12,gaussian,1.0000000000000002
2006-12-13,gaussian,1.0000000000000002
2006-12-14,gaussian,1.0000000000000002
2006-12-15,gaussian,1.0000000000000002
2006-12-18,gaussian,0.99999999999999989
2006-12-19,gaussian,1.0000000000000004
2006-12-20,gaussian,1.0000000000000002
2006-12-21,gaussian,1.0000000000000002
2006-12-22,gaussian,1
2006-12-25,gaussian,0.99999999999999889
2006-12-26,gaussian,1.0000000000000004
2006-12-27,gaussian,1.0000000000000002
2006-12-28,gaussian,1.0000000000000002
2006-12-29,gaussian,1.0000000000000002
2007-01-01,gaussian,1.0000000000000002
2007-01-02,gaussian,1
2007-01-03,gaussian,1
2007-01-04,gaussian,1
2007-01-05,gaussian,1.0000000000000002
2007-01-08,gaussian,1
2007-01-09,gaussian,1.0000000000000002
2007-01-10,gaussian,0.99999999999999978
2007-01-11,gaussian,1
2007-01-12,gaussian,1
2007-01-15,gaussian,0.99999999999999978
2007-01-16,gaussian,1.0000000000000002
2007-01-17,gaussian,1
2007-01-18,gaussian,1
2007-01-19,gaussian,1
2007-01-22,gaussian,1
2007-01-23,gaussian,1
2007-01-24,gaussian,1.0000000000000002
2007-01-25,gaussian,0.99999999999999756
2007-01-26,gaussian,1.0000000000000002
2007-01-29,gaussian,1
2007-01-30,gaussian,1.0000000000000004
2007-01-31,gaussian,1
2007-02-01,gaussian,1.0000000000000002
2007-02-02,gaussian,1.0000000000000002
2007-02-05,gaussian,1.0000000000000002
2007-02-06,gaussian,1
2007-02-07,gaussian,1.0000000000000002
2007-02-08,gaussian,1
2007-02-09,gaussian,0.99999999999999989
2007-02-12,gaussian,1
2007-02-13,gaussian,1
2007-02-14,gaussian,1
2007-02-15,gaussian,1
2007-02-16,gaussian,1
2007-02-19,gaussian,1.0000000000000002
2007-02-20,gaussian,1.0000000000000002
2007-02-21,gaussian,1.0000000000000002
2007-02-22,gaussian,1
2007-02-23,gaussian,1.0000000000000002
2007-02-26,gaussian,1.0000000000000002
2007-02-27,gaussian,1
2007-02-28,gaussian,0.99999999999999989
2007-03-01,gaussian,1.0000000000000002
2007-03-02,gaussian,1
2007-03-05,gaussian,0.99999999999999956
2007-03-06,gaussian,1.0000000000000002
2007-03-07,gaussian,1.0000000000000002
2007-03-08,gaussian,1.0000000000000002
2007-03-09,gaussian,1
2007-03-12,gaussian,1.0000000000000002
2007-03-13,gaussian,1
2007-03-14,gaussian,0.99999999999999989
2007-03-15,gaussian,1.0000000000000002
2007-03-16,gaussian,1
2007-03-19,gaussian,1.0000000000000002
2007-03-20,gaussian,1
2007-03-21,gaussian,1
2007-03-22,gaussian,1.0000000000000002
2007-03-23,gaussian,1.0000000000000002
2007-03-26,gaussian,1
2007-03-27,gaussian,1.0000000000000002
2007-03-28,gaussian,1
2007-03-29,gaussian,0.99999999999999978
2007-03-30,gaussian,1
2007-04-02,gaussian,1
2007-04-03,gaussian,1.0000000000000002
2007-04-04,gaussian,0.99999999999999989
2007-04-05,gaussian,1.0000000000000004
2007-04-06,gaussian,1.0000000000000002
2007-04-09,gaussian,1.0000000000000002
2007-04-10,gaussian,1
2007-04-11,gaussian,0.99999999999999989
2007-04-12,gaussian,1
2007-04-13,gaussian,1
2007-04-16,gaussian,1
2007-04-17,gaussian,1.0000000000000002
2007-04-18,gaussian,1.0000000000000004
2007-04-19,gaussian,1.0000000000000002
2007-04-20,gaussian,1.0000000000000002
2007-04-23,gaussian,1
2007-04-24,gaussian,1
2007-04-25,gaussian,1
2007-04-26,gaussian,1.0000000000000002
2007-04-27,gaussian,1
2007-04-30,gaussian,0.99999999999999967
2007-05-01,gaussian,1.0000000000000004
2007-05-02,gaussian,0.99999999999999978
2007-05-03,gaussian,1.0000000000000002
2007-05-04,gaussian,1.0000000000000002
2007-05-07,gaussian,1.0000000000000002
2007-05-08,gaussian,1.0000000000000002
2007-05-09,gaussian,0.99999999999999978
2007-05-10,gaussian,1
2007-05-11,gaussian,1.0000000000000002
2007-05-14,gaussian,1.0000000000000002
2007-05-15,gaussian,1.0000000000000002
