Date,strategy,block,ticker,weight,tradable,mve_gamma,optimizer_success,optimizer_message,allocation_method
2005-01-03,linear,1,8308.T,0.034960819354928466,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,linear,1,8316.T,0.035196089070925335,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,linear,1,BAC,0.041824203896458356,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,linear,1,BARC.L,0.041417267966750479,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,linear,1,BBVA.MC,0.038121438065964949,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,linear,1,BNP.PA,0.03804725905641744,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,linear,1,C,0.036776787355145238,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,linear,1,CBK.DE,0.037512154445042425,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,linear,1,DBK.DE,0.037866201244866365,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,linear,1,GLE.PA,0.038837301616076042,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,linear,1,GS,0.036525515197667877,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,linear,1,HSBA.L,0.041641741684095318,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,linear,1,INGA.AS,0.037504957207942169,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,linear,1,ISP.MI,0.04138585336688097,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,linear,1,JPM,0.035720579006375333,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,linear,1,LLOY.L,0.041164390102187892,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,linear,1,MS,0.03558083655751261,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,linear,1,NWG.L,0.041227421540770803,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,linear,1,PNC,0.042726754789171845,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,linear,1,SAN.MC,0.037829822145430583,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,linear,1,STAN.L,0.040592123117084933,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,linear,1,UBSG.SW,0.038269359638284053,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,linear,1,UCG.MI,0.070000000000000007,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,linear,1,USB,0.040041510233486996,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,linear,1,WFC,0.039229613340533584,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-04,linear,1,8308.T,0.05103687072653848,True,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-04,linear,1,8316.T,0.056084981178549903,True,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-04,linear,1,BAC,0.047913976819156767,True,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-04,linear,1,BARC.L,0.02739728751314419,True,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-04,linear,1,BBVA.MC,0.056030324204327339,True,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-04,linear,1,BNP.PA,0.036602507152329725,True,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-04,linear,1,C,0.038342266342227052,True,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-04,linear,1,CBK.DE,0.046531495906535381,True,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-04,linear,1,DBK.DE,0.054468634191123466,True,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-04,linear,1,GLE.PA,0.030240441413407548,True,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-04,linear,1,GS,0.03509465909753931,True,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-04,linear,1,HSBA.L,0.02819128665445015,True,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-04,linear,1,INGA.AS,0.047577243605695596,True,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
