Date,strategy,block,ticker,weight,tradable,mve_gamma,optimizer_success,optimizer_message,allocation_method
2005-01-03,polynomial,1,8308.T,0.03923164175383119,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,polynomial,1,8316.T,0.039494329943694631,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,polynomial,1,BAC,0.040967789876017839,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,polynomial,1,BARC.L,0.042452423199182722,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,polynomial,1,BBVA.MC,0.043948830668459095,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,polynomial,1,BNP.PA,0.043747959546418538,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,polynomial,1,C,0.039957967919965871,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,polynomial,1,CBK.DE,0.027681626809289969,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,polynomial,1,DBK.DE,0.044144043748851683,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,polynomial,1,GLE.PA,0.042667541641218477,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,polynomial,1,GS,0.026834708831197672,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,polynomial,1,HSBA.L,0.042685580289567468,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,polynomial,1,INGA.AS,0.037160914245940049,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,polynomial,1,ISP.MI,0.039753489908388881,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,polynomial,1,JPM,0.035740423522528875,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,polynomial,1,LLOY.L,0.04221087567388157,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,polynomial,1,MS,0.029532840053647313,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,polynomial,1,NWG.L,0.04226701114954573,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,polynomial,1,PNC,0.039892890299215361,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,polynomial,1,SAN.MC,0.043215250553493359,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,polynomial,1,STAN.L,0.04161691596486989,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,polynomial,1,UBSG.SW,0.021028059684517236,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,polynomial,1,UCG.MI,0.070000000000000007,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,polynomial,1,USB,0.040750408175587408,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-03,polynomial,1,WFC,0.043016476540689214,False,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-04,polynomial,1,8308.T,0.057999647939118125,True,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-04,polynomial,1,8316.T,0.070000000000000007,True,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-04,polynomial,1,BAC,0.041014968858585778,True,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-04,polynomial,1,BARC.L,0.021392558098712815,True,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-04,polynomial,1,BBVA.MC,0.061175546496190274,True,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-04,polynomial,1,BNP.PA,0.034409373195635397,True,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-04,polynomial,1,C,0.032812708849313345,True,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-04,polynomial,1,CBK.DE,0.039066171630630829,True,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-04,polynomial,1,DBK.DE,0.056573780213699042,True,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-04,polynomial,1,GLE.PA,0.040431704681536319,True,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-04,polynomial,1,GS,0.033485251930310024,True,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-04,polynomial,1,HSBA.L,0.01,True,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-04,polynomial,1,INGA.AS,0.040756611684042925,True,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
2005-01-04,polynomial,1,ISP.MI,0.035156941665835946,True,0.01,True,batch_projected_gradient_converged,constrained_regularized_mve
