model,block,Date,n_obs,parameter_count,adjusted_r2
gaussian,29,2019-01-01,3225,96,-0.03444579807382153
gaussian,30,2019-07-01,3300,96,-0.08203784804831349
gaussian,31,2020-01-01,3250,96,-0.03517236859947315
gaussian,32,2020-07-01,3300,96,-0.134036719716637
gaussian,33,2021-01-01,3225,96,-0.07661065368857933
gaussian,34,2021-07-01,3300,96,-0.11472674580595199
gaussian,35,2022-01-03,3225,96,-0.05523786894197524
gaussian,36,2022-07-01,3275,96,-0.20108159115037227
gaussian,37,2023-01-02,3250,96,-0.08425449604691115
gaussian,38,2023-07-03,3250,96,-0.0225482235916854
gaussian,39,2024-01-01,3250,96,-0.01204328338571714
gaussian,40,2024-07-01,3300,96,-0.04483384122839129
gaussian,41,2025-01-02,3200,96,-0.04507997224812477
gaussian,42,2025-07-01,3275,96,-0.024257885219240327
