Date,strategy,drawdown
2005-06-22,equal_weight,-0.045703963683933035
2005-06-23,equal_weight,-0.04887787801529675
2005-06-24,equal_weight,-0.05044754668569995
2005-06-27,equal_weight,-0.055601969527167894
2005-06-28,equal_weight,-0.05355656255129537
2005-06-29,equal_weight,-0.05012075741535349
2005-06-30,equal_weight,-0.05501294375153054
2005-07-01,equal_weight,-0.05728613314036546
2005-07-04,equal_weight,-0.059820486830481134
2005-07-05,equal_weight,-0.057816487385379034
2005-07-06,equal_weight,-0.05959236190973183
2005-07-07,equal_weight,-0.06961607151843341
2005-07-08,equal_weight,-0.05884325713032035
2005-07-11,equal_weight,-0.045577392925080784
2005-07-12,equal_weight,-0.03765275670338308
2005-07-13,equal_weight,-0.035638861055351745
2005-07-14,equal_weight,-0.028370529887284057
2005-07-15,equal_weight,-0.03046778559696872
2005-07-18,equal_weight,-0.035503017235131606
2005-07-19,equal_weight,-0.03456933149181296
2005-07-20,equal_weight,-0.02989615617071939
2005-07-21,equal_weight,-0.024484794485643446
2005-07-22,equal_weight,-0.029371628689018325
2005-07-25,equal_weight,-0.03177487228572928
2005-07-26,equal_weight,-0.034273543834125286
2005-07-27,equal_weight,-0.0311299725780968
2005-07-28,equal_weight,-0.025298342199793766
2005-07-29,equal_weight,-0.03152611430094798
2005-08-01,equal_weight,-0.02688778347079046
2005-08-02,equal_weight,-0.018592250372675867
2005-08-03,equal_weight,-0.009848221153833547
2005-08-04,equal_weight,-0.016152374798578895
2005-08-05,equal_weight,-0.02086959171523739
2005-08-08,equal_weight,-0.018620145644004826
2005-08-09,equal_weight,-0.010879613016733458
2005-08-10,equal_weight,0.0
2005-08-11,equal_weight,0.0
2005-08-12,equal_weight,-0.0024639782937876387
2005-08-15,equal_weight,0.0
2005-08-16,equal_weight,-0.013386811563501189
2005-08-17,equal_weight,-0.01877051261927465
2005-08-18,equal_weight,-0.025106552048385522
2005-08-19,equal_weight,-0.018045646618947142
2005-08-22,equal_weight,-0.00953630949544182
2005-08-23,equal_weight,-0.017764213907131565
2005-08-24,equal_weight,-0.020136204444577643
2005-08-25,equal_weight,-0.02467028233395452
2005-08-26,equal_weight,-0.032236860800446965
2005-08-29,equal_weight,-0.032246275443296835
2005-08-30,equal_weight,-0.03494642029610617
2005-08-31,equal_weight,-0.022699439952324596
2005-09-01,equal_weight,-0.010003299701811685
2005-09-02,equal_weight,-0.008539070851328545
2005-09-05,equal_weight,-0.001647881412441432
2005-09-06,equal_weight,0.0
2005-09-07,equal_weight,0.0
2005-09-08,equal_weight,-0.00196517422896203
2005-09-09,equal_weight,0.0
2005-09-12,equal_weight,-0.004746529600324956
2005-09-13,equal_weight,-0.01182043711314873
2005-09-14,equal_weight,-0.01150723063880743
2005-09-15,equal_weight,-0.016792804051267707
2005-09-16,equal_weight,-0.007797899560878729
2005-09-19,equal_weight,-0.014207713408107892
2005-09-20,equal_weight,-0.009015687311208942
2005-09-21,equal_weight,-0.020667870938233746
2005-09-22,equal_weight,-0.0201701037288452
2005-09-23,equal_weight,-0.021585205671898255
2005-09-26,equal_weight,-0.008165485605498235
2005-09-27,equal_weight,-0.015455347822325605
2005-09-28,equal_weight,0.0
2005-09-29,equal_weight,0.0
2005-09-30,equal_weight,-0.0016315263288824156
2005-10-03,equal_weight,-0.0014093927097053038
2005-10-04,equal_weight,-0.005326053630659855
2005-10-05,equal_weight,-0.011839186960396875
2005-10-06,equal_weight,-0.013828701758783701
2005-10-07,equal_weight,-0.014839337140658326
2005-10-10,equal_weight,-0.017451185036690853
2005-10-11,equal_weight,-0.0165172528908355
2005-10-12,equal_weight,-0.02085160496812366
2005-10-13,equal_weight,-0.023641062177468752
2005-10-14,equal_weight,-0.014676539042127845
2005-10-17,equal_weight,-0.022983369724525526
2005-10-18,equal_weight,-0.030602539147952856
2005-10-19,equal_weight,-0.0334591559380637
2005-10-20,equal_weight,-0.02880095989158049
2005-10-21,equal_weight,-0.029873476693381695
2005-10-24,equal_weight,-0.01486587319966659
2005-10-25,equal_weight,-0.010186132085031274
2005-10-26,equal_weight,-0.005250422328790694
2005-10-27,equal_weight,-0.00895218270250886
2005-10-28,equal_weight,-0.007663634790783469
2005-10-31,equal_weight,0.0
2005-11-01,equal_weight,0.0
2005-11-02,equal_weight,0.0
2005-11-03,equal_weight,0.0
2005-11-04,equal_weight,-0.006524072094936995
2005-11-07,equal_weight,-0.002452584597923635
2005-11-08,equal_weight,-0.005375649178172237
2005-11-09,equal_weight,-0.007108119850746886
2005-11-10,equal_weight,0.0
2005-11-11,equal_weight,0.0
2005-11-14,equal_weight,-0.004401636627479055
2005-11-15,equal_weight,-0.007095885799476398
2005-11-16,equal_weight,-0.011637053004549203
2005-11-17,equal_weight,0.0
2005-11-18,equal_weight,0.0
2005-11-21,equal_weight,0.0
2005-11-22,equal_weight,0.0
2005-11-23,equal_weight,0.0
2005-11-24,equal_weight,-0.004073670675143637
2005-11-25,equal_weight,-0.0016865796662499655
2005-11-28,equal_weight,-4.8163228426600924e-05
2005-11-29,equal_weight,-0.0047441128844811775
2005-11-30,equal_weight,-0.013277101710943318
2005-12-01,equal_weight,-0.003580938058712735
2005-12-02,equal_weight,-0.0007319001594568997
2005-12-05,equal_weight,0.0
2005-12-06,equal_weight,0.0
2005-12-07,equal_weight,-0.007405009864482337
2005-12-08,equal_weight,0.0
2005-12-09,equal_weight,-0.005031927334545161
2005-12-12,equal_weight,0.0
2005-12-13,equal_weight,0.0
2005-12-14,equal_weight,0.0
2005-12-15,equal_weight,-0.002949094204685032
2005-12-16,equal_weight,0.0
2005-12-19,equal_weight,-0.001976428772966776
2005-12-20,equal_weight,-0.003500444919363077
2005-12-21,equal_weight,-0.00020400483637694755
2005-12-22,equal_weight,0.0
2005-12-23,equal_weight,-0.000258356011956562
2005-12-26,equal_weight,0.0
2005-12-27,equal_weight,-0.007630132087185659
2005-12-28,equal_weight,-0.010765499022964864
2005-12-29,equal_weight,-0.010945239581393817
2005-12-30,equal_weight,-0.018472796988402207
2006-01-02,equal_weight,-0.0173491535678586
2006-01-03,equal_weight,0.0
2006-01-04,equal_weight,0.0
2006-01-05,equal_weight,-0.0039470289527222535
2006-01-06,equal_weight,0.0
2006-01-09,equal_weight,-0.006592238286443619
2006-01-10,equal_weight,-0.015189344688205209
2006-01-11,equal_weight,-0.0013332681054062379
2006-01-12,equal_weight,-0.004612029721786204
2006-01-13,equal_weight,-0.004389408625880553
2006-01-16,equal_weight,-0.003958132893901345
2006-01-17,equal_weight,-0.01606102185275715
2006-01-18,equal_weight,-0.02647915724715444
2006-01-19,equal_weight,-0.018111366911719773
2006-01-20,equal_weight,-0.027104652506222293
2006-01-23,equal_weight,-0.023121438132056138
2006-01-24,equal_weight,-0.026266532903740814
2006-01-25,equal_weight,-0.01483905603956992
2006-01-26,equal_weight,0.0
2006-01-27,equal_weight,0.0
2006-01-30,equal_weight,0.0
2006-01-31,equal_weight,0.0
2006-02-01,equal_weight,0.0
2006-02-02,equal_weight,-0.010843689578439397
2006-02-03,equal_weight,-0.017617831450655652
2006-02-06,equal_weight,-0.01881955002322311
2006-02-07,equal_weight,-0.01849117332317851
2006-02-08,equal_weight,-0.02015635865777532
2006-02-09,equal_weight,-0.005983342782957979
2006-02-10,equal_weight,-0.013562603722056199
2006-02-13,equal_weight,-0.010033332701265829
2006-02-14,equal_weight,-0.005252392530879613
