model,n_obs,mean_error,std_error,skewness,excess_kurtosis,jarque_bera,jb_pvalue,normal_rejected_5pct,outlier_threshold_sigma,outlier_count,outlier_share,normal_3sigma_share,tail_ratio_vs_normal
linear,136900,-0.0003424857408078399,0.022582809833372193,-0.6910303237557629,26.88990698219889,4135390.7164129424,0.0,True,3.0,2374,0.017341124908692475,0.002699796063260207,6.4231240072821505
polynomial,136900,-0.001141446576671525,0.035366611687171284,-4.212069397339826,111.16705359823892,70897543.3778314,0.0,True,3.0,1949,0.014236669101533966,0.002699796063260207,5.273238706905186
gaussian,136900,5.794597182577349e-05,0.022642009233113446,-0.6234240314778118,27.650687091901627,4370048.3688156465,0.0,True,3.0,2345,0.017129291453615778,0.002699796063260207,6.3446612456093705
