block,train_start,validation_start,active_start,active_end,linear_transformed_feature_count,linear_lambda,linear_validation_rmse,linear_validation_mae,linear_validation_bias,linear_gamma,linear_mean_daily,linear_vol_daily,linear_sharpe_annualized,linear_cumulative_return,linear_max_drawdown,linear_n_days,linear_utility,linear_optimizer_failures,linear_mve_device,linear_allocation_method,polynomial_transformed_feature_count,polynomial_lambda,polynomial_coef0,polynomial_validation_rmse,polynomial_validation_mae,polynomial_validation_bias,polynomial_gamma,polynomial_mean_daily,polynomial_vol_daily,polynomial_sharpe_annualized,polynomial_cumulative_return,polynomial_max_drawdown,polynomial_n_days,polynomial_utility,polynomial_optimizer_failures,polynomial_mve_device,polynomial_allocation_method,gaussian_transformed_feature_count,gaussian_lambda,gaussian_kernel_gamma,gaussian_components,gaussian_validation_rmse,gaussian_validation_mae,gaussian_validation_bias,gaussian_gamma,gaussian_mean_daily,gaussian_vol_daily,gaussian_sharpe_annualized,gaussian_cumulative_return,gaussian_max_drawdown,gaussian_n_days,gaussian_utility,gaussian_optimizer_failures,gaussian_mve_device,gaussian_allocation_method
21,2013-01-01,2014-07-01,2015-01-01,2015-06-30,15,10.0,0.014371560070092756,0.009755151904350915,0.0006519477070984672,0.001,0.0006781744311016703,0.009468425133471986,1.137009079075718,0.09364813966685114,-0.06447376932423299,132,0.0005436978193394243,0,cpu,constrained_regularized_mve,135,10.0,0.0,0.015726059045109386,0.01087447746817587,0.00135227491973869,0.01,0.0003321590421422565,0.009438586868414636,0.5586494462454066,0.044820388449897115,-0.08799225156455814,132,0.00019852865903334266,0,cpu,constrained_regularized_mve,96,10.0,0.01,96,0.014206763937833771,0.009544217874523893,0.0007597111518142333,0.0001,0.0003836528390480122,0.009857101615944617,0.6178591079529968,0.051946412946500195,-0.0848526942442428,132,0.00023790916064742528,0,cpu,constrained_regularized_mve
22,2013-07-01,2015-01-01,2015-07-01,2015-12-31,15,10.0,0.014634799385501199,0.010099646080915068,0.0001418217294799038,0.0001,0.0015344453960971477,0.009022890676760749,2.699640989070604,0.21889347087831992,-0.043583600871411554,129,0.0014123265618499836,0,cpu,constrained_regularized_mve,135,1.0,0.0,0.03299123546210427,0.017596523703626767,0.0007690045939323703,1e-05,0.0016066750149931618,0.009405137775701773,2.7118342944565934,0.23030373378178273,-0.04251157861134991,129,0.0014739900901232631,0,cpu,constrained_regularized_mve,96,10.0,0.01,96,0.01452432364757153,0.01002276093359735,0.00020976257044566025,1e-05,0.0014668148866305926,0.00921487121103104,2.5268898417676717,0.20830568787324355,-0.045407962055069584,129,0.0013394441094767597,0,cpu,constrained_regularized_mve
23,2014-01-01,2015-07-01,2016-01-01,2016-06-30,15,10.0,0.016956178271556065,0.012086786626339935,0.0045212183849855404,1e-06,0.0005276051200842493,0.012215235528154995,0.6856578090384805,0.07212630319303717,-0.08776426318027397,132,0.0003037871515717992,0,cpu,constrained_regularized_mve,136,10.0,1.0,0.023268100284755316,0.016952421745620436,0.01020290171343564,0.0001,-2.0294449527468735e-05,0.01201300506763941,-0.026817969097145622,-0.00267528237444767,-0.11989942852698587,132,-0.00023676288566016395,0,cpu,constrained_regularized_mve,96,10.0,0.05,96,0.016348929875417906,0.011258113140580485,0.0013696057499577277,1e-06,3.95327984738046e-05,0.012301222586785204,0.0510163697896903,0.0052319685936818875,-0.12344124983249605,132,-0.0001874473172206471,0,cpu,constrained_regularized_mve
24,2014-07-01,2016-01-01,2016-07-01,2016-12-30,15,0.01,0.027697100358526985,0.01733598852545776,0.0015027110442754426,1e-06,0.0006652700396948368,0.021542188277480463,0.4902396331503429,0.090335127229922,-0.12908362577247556,130,-3.0828773978788175e-05,0,cpu,constrained_regularized_mve,136,10.0,1.0,0.03416677218972569,0.021467276356349204,0.000991089415582887,0.001,0.00022712330978905988,0.021522447866792038,0.1675214078901058,0.029966245425069347,-0.12620544006080148,130,-0.0004677003334791118,0,cpu,constrained_regularized_mve,96,10.0,0.01,96,0.027721246102073483,0.017342264316028335,0.0018532838055479507,0.0001,0.0006128058920074393,0.02159172951200978,0.45054250739061064,0.08292397383993665,-0.1273689047630746,130,-8.649828297225182e-05,0,cpu,constrained_regularized_mve
25,2015-01-01,2016-07-01,2017-01-02,2017-06-30,15,10.0,0.019168104340862097,0.012859454510814031,-0.0055639173107068325,1e-06,0.002860957856726322,0.012079283389370117,3.759850360160605,0.4546793222176123,-0.04895648469798575,131,0.002642094225925253,0,cpu,constrained_regularized_mve,135,10.0,0.0,0.02211076101187585,0.015816200407356817,-0.006318390646393258,0.01,0.002742691719113888,0.01172072604680575,3.714691487223613,0.43231585765434244,-0.04578669014351722,131,0.002536628590517482,0,cpu,constrained_regularized_mve,96,10.0,0.01,96,0.018218847000379155,0.01175069691598312,-0.002757674444012312,0.0001,0.0027548652826488236,0.012011359747528172,3.640897576916416,0.4346018467858684,-0.04866368350181405,131,0.0025384561381720135,0,cpu,constrained_regularized_mve
26,2015-07-01,2017-01-02,2017-07-03,2017-12-29,15,10.0,0.013265310881187794,0.009139964400660625,0.0004463205067225497,0.01,0.0007399020466187035,0.00845313727780797,1.389493684225446,0.10096521810960936,-0.06349742598415176,130,0.0006327187518625035,0,cpu,constrained_regularized_mve,136,10.0,1.0,0.015323808641084579,0.011337570009686116,0.0018403773833699634,0.01,0.0010519768475384318,0.00875920948840386,1.906520761218771,0.14654949187797248,-0.06513726767929351,130,0.0009368912212458155,0,cpu,constrained_regularized_mve,96,10.0,0.01,96,0.013318988346887035,0.009186442576794686,0.0003247053615385233,0.01,0.0007774921986058659,0.008556300426493585,1.4424816109316658,0.10635849357444158,-0.06332632270535965,130,0.0006676767831232444,0,cpu,constrained_regularized_mve
27,2016-01-01,2017-07-03,2018-01-01,2018-06-29,15,0.01,0.010596156153012735,0.0073838469752360815,0.0012555282274112954,1e-06,0.0006024234530037265,0.0064320977163698076,1.4867895771025903,0.08146331882365875,-0.06153285661016161,130,0.000540365631454332,0,cpu,constrained_regularized_mve,135,10.0,0.0,0.013794534756302384,0.010182289340028327,0.0005733607300974497,0.01,0.0002535709532946858,0.0064578018936994,0.6233257320406816,0.03351356352454435,-0.08205606554894551,130,0.00019101614534728446,0,cpu,constrained_regularized_mve,96,10.0,0.01,96,0.010573707250905106,0.0073192078838637655,0.0014304644256482504,0.001,0.0005679500663863711,0.0063803950252192855,1.4130673353184604,0.07662754137957153,-0.062218967089159416,130,0.0005068859053696066,0,cpu,constrained_regularized_mve
28,2016-07-01,2018-01-01,2018-07-02,2018-12-31,15,0.1,0.013794651375748337,0.009563971019876423,-0.00046680812092673855,0.01,-0.00090107645772834,0.009220266245461295,-1.5513809401617245,-0.11053928623789834,-0.17967414742545518,130,-0.0010285964221841293,0,cpu,constrained_regularized_mve,136,10.0,1.0,0.019381564824178014,0.013287676643049579,-0.00048643559839155247,0.01,-0.0010804482631154263,0.00958953780813463,-1.7885725876695762,-0.1310400777800878,-0.19956876527876544,130,-0.0012183871161758916,0,cpu,constrained_regularized_mve,96,10.0,0.01,96,0.013854359113334965,0.009409698379225869,0.001396046076416063,0.0001,-0.0012067259560670294,0.009509739621174868,-2.0143748877735796,-0.1451885616323118,-0.20745116814485065,130,-0.0013423786775608442,0,cpu,constrained_regularized_mve
29,2017-01-02,2018-07-02,2019-01-01,2019-06-28,15,10.0,0.014412949565384504,0.01016943854318754,-0.0015675026406803403,1e-06,-0.0013022463329739882,0.00963471161274458,-2.145629312809401,-0.1568363988299376,-0.19984734592992137,131,-0.0014414878347651212,0,cpu,constrained_regularized_mve,136,10.0,1.0,0.01642113613630544,0.011797913222636578,0.00038983711805593485,0.01,-0.0016180764657773206,0.00962352045638224,-2.6691030274023864,-0.19100942891543798,-0.2293616557440259,131,-0.0017569946847389318,0,cpu,constrained_regularized_mve,96,10.0,0.01,96,0.014164273376010327,0.009621447441703084,6.376390419666763e-05,0.001,-0.0012255410665332758,0.009849530805971519,-1.9752069092944489,-0.14832125210338926,-0.20522003333357652,131,-0.0013710609521799487,0,cpu,constrained_regularized_mve
30,2017-07-03,2019-01-01,2019-07-01,2019-12-31,15,10.0,0.014498859033037216,0.009813619722962231,0.0009900715751822015,1e-06,0.0007850797237268761,0.010675150278832412,1.1674546891162605,0.10658122434306974,-0.0950506936617671,129,0.0006141414735133926,0,cpu,constrained_regularized_mve,135,10.0,0.0,0.01595850457150432,0.01126675624192252,-0.004135283959596038,0.01,0.00029811294425380753,0.01076528454817764,0.4395978812682777,0.03920559448017913,-0.10526100066962751,129,0.00012427591714895913,0,cpu,constrained_regularized_mve,96,1.0,0.05,96,0.014251569609929425,0.009970601662397062,-0.0023507866804024324,0.01,0.0005627175495237849,0.010786651049360317,0.8281406458401557,0.07529018414103603,-0.1000356713187871,129,0.00038818978823278584,0,cpu,constrained_regularized_mve
31,2018-01-01,2019-07-01,2020-01-01,2020-06-30,15,10.0,0.014652808987674685,0.00980163751073899,0.0025408468162851205,1e-05,0.001080165546750185,0.00991992245078878,1.7285514633759225,0.15324747290360963,-0.07169246536604479,132,0.00093255825460569,0,cpu,constrained_regularized_mve,136,10.0,1.0,0.017851170741345363,0.013252995556362467,0.006788671212168556,0.0001,0.0010801200797424578,0.010144668806063725,1.690185754735134,0.15324055154242683,-0.07402586878662609,132,0.0009257486219653742,0,cpu,constrained_regularized_mve,96,10.0,0.01,96,0.014455409737735113,0.009313089233353255,0.0005155780834464755,0.01,0.0009429236719457223,0.010059131101041207,1.488045945256249,0.1325434280420671,-0.0806173269160455,132,0.0007911444941838205,0,cpu,constrained_regularized_mve
32,2018-07-02,2020-01-01,2020-07-01,2020-12-31,15,10.0,0.037352673366731336,0.025050836303582145,0.009579346876556386,0.0001,0.00018413318496681355,0.02893791925761356,0.10101015443429394,0.024226111286996862,-0.26949318875792005,130,-0.001071971571473429,0,cpu,constrained_regularized_mve,136,10.0,1.0,0.07128349379654735,0.047660022932451876,0.03735770286839579,0.001,-0.0004025987788528399,0.030513035187915486,-0.2094533514131878,-0.050991801438434216,-0.28818979676559564,130,-0.0017991667534212928,0,cpu,constrained_regularized_mve,96,10.0,0.2,96,0.03597013024017762,0.023364777459727353,0.0028385066838775494,0.001,-0.0012806074963866594,0.030657892469668206,-0.6630923438477601,-0.15335938223501178,-0.3093138224702542,130,-0.0026904670524092672,0,cpu,constrained_regularized_mve
