strategy,min_weight,max_weight,mean_daily,vol_daily,sharpe_annualized,cumulative_return,max_drawdown,n_days,mean_top_weight,max_single_asset_weight,mean_effective_assets,mean_zero_weight_share,objective,objective_label,constraint_range
linear,0.01,0.128,0.00098687654087049989,0.016199057095511199,0.96710440112861684,221.32403567215439,-0.58502679390125267,5476,0.118914319171581,0.128,12.623348504926405,0,sharpe,Max Sharpe,1.0%-12.8%
polynomial,0.01,0.13500000000000001,0.00083302219431190001,0.0162363276678331,0.81445864157319103,94.739363531013964,-0.5952554797702525,5476,0.118309603267612,0.13500000000000001,13.281124730738805,0,sharpe,Max Sharpe,1.0%-13.5%
gaussian,0.01,0.151,0.00074897605770440001,0.0164438550236535,0.72304373291190815,59.424393662327581,-0.60001949811997035,5476,0.1372845642812246,0.151,11.362459591851913,0,sharpe,Max Sharpe,1.0%-15.1%
linear,0.01,0.187,0.0010102273571443001,0.016712233609503201,0.95958819763675063,251.64996866746984,-0.60404077276967938,5476,0.16258672780778799,0.187,10.673640161983464,0,cumulative_return,Max cumulative return,1.0%-18.7%
polynomial,0.01,0.16300000000000001,0.0008362716928257,0.016517895494087199,0.80369812068081403,96.458221614739315,-0.60502681014871595,5476,0.13529899467407799,0.16300000000000001,12.511075339460426,0,cumulative_return,Max cumulative return,1.0%-16.3%
gaussian,0.01,0.16,0.00074996241084839997,0.0164977940321685,0.72162885336641247,59.751645107097197,-0.60706839452639938,5476,0.1439977538466819,0.16,11.023984487106816,0,cumulative_return,Max cumulative return,1.0%-16.0%
linear,0.01,0.057000000000000002,0.00075256648427330004,0.0153758830439477,0.77697147802382427,60.624164094479454,-0.55956091326699053,5476,0.056896754858224097,0.057000000000000002,19.985586826550762,0,max_drawdown,Min max drawdown,1.0%-5.7%
polynomial,0.01,0.053999999999999902,0.00064810980349180002,0.0154104583692253,0.66762609698622,33.78023563513625,-0.58133125987884582,5476,0.053947777919081299,0.053999999999999902,20.775797244668137,0,max_drawdown,Min max drawdown,1.0%-5.4%
gaussian,0.01,0.053999999999999902,0.00062416514641299998,0.0155034891421329,0.63910223278263212,29.506151193600587,-0.58334693431641627,5476,0.053917459613325003,0.053999999999999902,20.508705621445905,0,max_drawdown,Min max drawdown,1.0%-5.4%
