"strategy","min_weight","max_weight","mean_daily","vol_daily","sharpe_annualized","cumulative_return","max_drawdown","n_days","mean_top_weight","max_single_asset_weight","mean_effective_assets","mean_zero_weight_share"
"linear","0.01","0.040000000000000001","0.00044579380819155588","0.015451592421230309","0.45799533938005843","10.48643637538299","-0.63011786558835348","5476","0.039999999999999994","0.040000000000000001","25","0"
"linear","0.01","0.041000000000000002","0.00047384091903442045","0.015410153567105862","0.48811917180919406","12.39327710708362","-0.62378197874809671","5476","0.040999999999999995","0.041000000000000002","24.697836974017211","0"
"linear","0.01","0.042000000000000003","0.00050068301212100421","0.015394279444594951","0.51630194469882307","14.513958613449541","-0.62239840805559132","5476","0.041999923951284414","0.042000000000000003","24.359343832749634","0"
"linear","0.01","0.042999999999999997","0.00052544509743373635","0.01538319232028274","0.54222700717124672","16.766903161112637","-0.62061634458033998","5476","0.042999356628965008","0.042999999999999997","23.980443565829621","0"
"linear","0.01","0.043999999999999997","0.00054693403209770666","0.015375573372046838","0.56468193964816604","18.985574928830658","-0.61592498831680675","5476","0.043998428211393617","0.043999999999999997","23.586917041621053","0"
"linear","0.01","0.044999999999999998","0.0005655126367439372","0.015368872354050288","0.58411798821189032","21.125863066970336","-0.61132663050888603","5476","0.044996971401651792","0.044999999999999998","23.314522088366942","0"
"linear","0.01","0.045999999999999999","0.00058481665105890291","0.015370952576149993","0.60397535426879079","23.592855678827991","-0.60560364036511083","5476","0.045995030743512959","0.045999999999999999","22.954251681949877","0"
"linear","0.01","0.047","0.00060765190717072251","0.015395336197353036","0.62656475030831238","26.868634464016484","-0.59985284204375322","5476","0.04699235997424641","0.047","22.662784004205026","0"
"linear","0.01","0.048000000000000001","0.000628009899708486","0.015412070493423163","0.64685326331370352","30.155232566945198","-0.59693183489878821","5476","0.047989323170693175","0.048000000000000001","22.358249954417083","0"
"linear","0.01","0.049000000000000002","0.00064598641274480673","0.015421607492850072","0.66495768326689064","33.378164027613167","-0.59626185525929254","5476","0.048985463603944623","0.049000000000000002","22.059389228255572","0"
"linear","0.01","0.050000000000000003","0.00066242986345841476","0.01542451065701082","0.68175570118465734","36.617370770844914","-0.59257822673935057","5476","0.049980613364610689","0.050000000000000003","21.777489501060543","0"
"linear","0.01","0.050999999999999997","0.00067726705413269643","0.015421635049856519","0.69715572594714181","39.8013181477302","-0.58551021847221363","5476","0.050974540132469284","0.050999999999999997","21.509771242316425","0"
"linear","0.01","0.051999999999999998","0.00069107251516048202","0.01541743391560405","0.7115604411351536","43.00543253576479","-0.58007729498077087","5476","0.051966752229825747","0.051999999999999998","21.217377413411469","0"
"linear","0.01","0.052999999999999999","0.00070257510535991154","0.015403623129316132","0.72405264288357907","45.866412942581576","-0.57755346289584364","5476","0.052957261059416116","0.052999999999999999","20.99658689614812","0"
"linear","0.01","0.053999999999999999","0.00071337892226876296","0.015394916211818063","0.73560252991680131","48.722770062947177","-0.57459632390365534","5476","0.053945985618293849","0.053999999999999999","20.684046814351621","0"
