strategy,min_weight,max_weight,mean_daily,vol_daily,sharpe_annualized,cumulative_return,max_drawdown,n_days,mean_top_weight,max_single_asset_weight,mean_effective_assets,mean_zero_weight_share,objective,objective_label,constraint_range
linear,0.01,0.128,0.00098687654087049989,0.016199057095511199,0.96710440112861684,221.32403567215439,-0.58502679390125267,5476,0.118914319171581,0.128,12.623348504926405,0,sharpe,Max Sharpe,1.0%-12.8%
polynomial,0.01,0.13500000000000001,0.00083302219431190001,0.0162363276678331,0.81445864157319103,94.739363531013964,-0.5952554797702525,5476,0.118309603267612,0.13500000000000001,13.281124730738805,0,sharpe,Max Sharpe,1.0%-13.5%
gaussian,0.01,0.151,0.00074897605770440001,0.0164438550236535,0.72304373291190815,59.424393662327581,-0.60001949811997035,5476,0.1372845642812246,0.151,11.362459591851913,0,sharpe,Max Sharpe,1.0%-15.1%
